ESTADO;CIDADE;x;y;TIPO;NOME;TEXTO
MINAS GERAIS;Itabirito;929,183;770,042;coletivo;COLETIVO VILA RICA;
SANTA CATARINA;Ouro Branco;658,364;999,727;coletivo;COLETIVO VILLAGE;
MATO GROSSO;Oliveira;541,952;656,445;coletivo;COLETIVO ZUMBI;
MATO GROSSO DO SUL;Conselheiro Lafaiete;658,937;839,285;Cooperativa;AARC - ASSOCIAÇÃO DOS AGENTES RECICLADORES DE CRATO;
SÃO PAULO;Belo Horizonte;852,318;913,941;Cooperativa;AARJ - ASSOCIAÇÃO DOS AGENTES RECICLADORES JOAQUINENSES;
PARAIBA;Chapecó;1187,529;394,69;Cooperativa;ABECAN - ASSOCIACAO BENEFICENTE DE COLETORES DE MATERIAIS RECICLAVEIS NASCIMENTO;
PARANÁ;Várzea Grande;771,066;961,587;Cooperativa;ACAMAR - COOPERATIVA DE TRABALHO DOS CATADORES DE MATERIAIS RECICLÁVEIS DE CAPÃO BONITO;
PARAIBA;Brasilândia;1175,407;373,512;Cooperativa;ACAMAR LAVRAS - ASSOCIACAO DOS CATADORES DE MATERIAIS RECICLAVEIS DE LAVRAS;
MARANHÃO;São Paulo;813,35;334,219;Cooperativa;ACAMARC - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS DE CUIABÁ;
PARANÁ;Fazenda Rio Grande;750,576;954,188;Cooperativa;ACAMARES - ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS DE SARZEDO;
PARANÁ;Curitiba;755,914;940,884;Cooperativa;ACAMARO - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS DO BAIRRO DE OFICINAS;
BAHIA;Catu;1085,681;576,301;Cooperativa;ACARI - ASSOCIACAO DE CATADORES AUTONOMOS DE RECICLAGEM ITAJUBENSE;
CEARÁ;Fortaleza;1039,181;291,766;Cooperativa;ACASMAR - ASSOCIAÇÃO CASTILHENSE DE SELEÇÃO DE MATERIAIS RECICLÁVEIS;
MINAS GERAIS;Belo Horizonte;913,041;772,295;Cooperativa;ACATE - ASSOCIAÇÃO DE CATADORES DE RECICLÁVEIS DE TERENOS;
MINAS GERAIS;UBERLÂNDIA;804,757;759,946;Cooperativa;ACLIMAR - ASSOCIACAO DOS CATADORES DE MATERIAIS RECICLAVEIS DE MARIALVA;
BAHIA;Lauro de Freitas;1062,129;566,57;Cooperativa;ACMAR - ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECLÁVEIS DE RANCHARIA;
BAHIA;Salvador;1071,737;576,301;Cooperativa;ACMRC - ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS DE CONTENDA;
MINAS GERAIS;Mariana;935,811;795,998;Cooperativa;ACMRPJS - ASSOCIAÇÃO DOS CATADORES E CATADORAS DE MATERIAIS RECICLÁVEIS PADRE JOSÉ SEVAT;
RONDONIA;Porto Velho;371,701;466,211;Cooperativa;ACOBRAZ - ASSOCIAÇÃO DOS CATADORES E RECICLADORES DE RESIDUOS SÓLIDOS DE BRAZLÂNDIA;
DISTRITO FEDERAL;Brasília;802,118;668,002;Cooperativa;ACOMAR - ASSOCIAÇÃO DOS COLETORES E PRESTADORES DE SERVIÇOS NA COLETA DE MATERIAIS RECICLÁVEIS DE BATATAIS;
PARAIBA;João Pessoa;1160,784;383,075;Cooperativa;ACOMAREM - ASSOCIACAO DOS COLETORES DE MATERIAIS RECICLAVEIS DE MORRETES;
PARAIBA;Campina Grande;1136,31;405,611;Cooperativa;ACOPPPMAR - ASSOCIAÇAO DE COLETORES DE PLASTICO , PET ,PVC E OUTROS MATERIAIS RECICLAVEIS;
BAHIA;Brumado;990,336;612,291;Cooperativa;ACPT - ASSOCIACAO '' CIDADANIA PARA TODOS '';
PARANÁ;Curitiba;741,877;972,09;Cooperativa;ACR - ASSOCIAÇÃO DE CATADORES DE RECICLÁVEIS;
BAHIA;Caculé;973,058;621,918;Cooperativa;ACRAN - ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS AMIGOS DA NATUREZA;
PARANÁ;Curitiba;743,917;949,008;Cooperativa;ACRER - ASSOCIAÇÃO DOS CLASSIFICADORES DE RESÍDUOS RECICLÁVEIS;
MINAS GERAIS;Belo Horizonte;945,787;772,647;Cooperativa;ACRU - ASSOCIAÇÃO DE CATADORES E RECICLADORES DE UBERLÂNDIA;
PARÁ;Belém;770,099;203,865;Cooperativa;ÁGUA NASCENTE - ASSOCIACAO DE CATADORES DE MATERIAIS RECICLAVEIS AGUA NASCENTE;
RIO GRANDE DO SUL;Rio Pardo;651,936;1106,391;Cooperativa;AMAR EBENEZER - ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLAVEIS AMAR EBENEZER;
RIO GRANDE DO SUL;Cachoeira do Sul;633,278;1111,771;Cooperativa;AMARIV - ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS DA ILHA DE VITORIA;
MINAS GERAIS;Baldim;917,673;750,727;Cooperativa;AMBIENTE - ASSOCIACAO DOS CATADORES AMBIENTALISTAS DA ESTRUTURAL;
DISTRITO FEDERAL;Brasília;818,126;656,437;Cooperativa;AMIGOS DA NATUREZA - ASSOCIAÇÃO DE CATADORES AMIGOS DA NATUREZA;
BAHIA;Feira de Santana;1102,806;538,07;Cooperativa;AMIGOS DA NATUREZA PR - ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLAVEIS AMIGOS DA NATUREZA;
SERGIPE;Boquim;1113,84;511,886;Cooperativa;APCORC - ASSOCIAÇÃO PRE-COOPERATIVISTA DOS CATADORES E RECICLADORES DE RESIDUOS SÓLIDOS DE CEILÂNDIA - DF;
RIO GRANDE DO SUL;Novo Hamburgo;699,032;1077,293;Cooperativa;ARA - ASSOCIAÇÃO DE RECICLADORES ARCOENSES;
PERNAMBUCO;Petrolina;1020,926;444,385;Cooperativa;ARBE - ASSOCIAÇÃO DOS RECICLADORES BOA ESPERANÇA;
RIO GRANDE DO SUL;Santa Cruz do Sul;643,022;1094,168;Cooperativa;ARCA - ASSOCIAÇÃO DE RECICLADORES E CATADORES E  AUTÔNOMOS;
RIO GRANDE DO SUL;Encruzilhada do Sul;647,691;1131,351;Cooperativa;AREMPAT - ASSOCIAÇÃO DE RECICLAGEM MULHERES PADRE TROMBET;
PERNAMBUCO;Cabo de Santo Agostinho;1153,303;416,813;Cooperativa;ARENSA - ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS DA COMUNIDADE NOSSA SENHORA APARECIDA;
RIO DE JANEIRO;MESQUITA;928,852;890,444;Cooperativa;AREPAR - ASSOCIACAO DE CATADORES DE MATERIAIS RECICLÁVEIS ESPERANCA DO PAROLIN;
BAHIA;Rio de Janeiro;1050,882;455,48;Cooperativa;ARES - ASSOCIAÇÃO DOS RECICLADORES DE SALESÓPOLIS;
MARANHÃO;Curaçá;915,445;264,45;Cooperativa;ARESP - ASSOCIAÇÃO DE RECICLADORES ESPERANÇA;
RIO DE JANEIRO;Paço do Lumiar;931,035;872,592;Cooperativa;AREUNA - ASSOCIAÇÃO RECICLA UNAÍ;
PARÁ;Mesquita;807,736;191,386;Cooperativa;ARM - ASSOCIAÇÃO DE RECICLADORES DE MATERIAIS RECICLÁVEIS MACHADO;
ALAGOAS;São João de Pirabas;1145,078;483,768;Cooperativa;ARPA - ASSOCIAÇÃO DE RECICLAGEM E PRESERVAÇÃO AMBIENTAL;
SÃO PAULO;Campo Alegre;779,279;819,723;Cooperativa;ARPA PARANA - ASSOCIACAO DOS RECICLADORES DE PORTO AMAZONAS;
SÃO PAULO;Morro Agudo;818,181;868,628;Cooperativa;ARS - ASSOCIAÇÃO DE RECICLAGEM SIMONENSE SP;
SÃO PAULO;Mogi Guaçu;791,789;917,227;Cooperativa;ARSOL - ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS SOLIDÁRIOS DE CHAPECÓ;
RIO DE JANEIRO;São Paulo;957,183;883,261;Cooperativa;ASCABOC - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS DE BOCAIÚVA;
SÃO PAULO;Duque de Caxias;831,737;885,163;Cooperativa;ASCAFIGUAMA - ASSOCIAÇÃO DE CATADORES FILHOS(AS) DE GUADALUPE DO MUNICÍPIO DE MANAUS;
RIO GRANDE DO SUL;Guarulhos;712,095;1112,888;Cooperativa;ASCAJ - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS UNIDOS POR JANAÚBA;
PARANÁ;São Leopoldo;613,069;931,778;Cooperativa;ASCAJAN - ASSOCIAÇÃO DOS CATADORES DE JANGURUSSU;
MINAS GERAIS;Marechal Cândido Rondon;829,567;777,722;Cooperativa;ASCALP - ASSOCIACAO DE CATADORES DE PAPEL, PAPELAO E MATERIAIS REAPROVEITAVEIS DE LAGOA DA PRATA;
MATO GROSSO DO SUL;Araxá;586,445;773,655;Cooperativa;ASCAMARCO - ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS DA REGIÃO DA CIDADE OPERARIA E CIDADE OLÍMPICA;
