SÃO PAULO;ITU;805,419;906,819;Coletivo Jovem;COLETIVO CIDADE NOVA;-
SÃO PAULO;MARÍLIA;726,912;867,934;Coletivo Jovem;COLETIVO JARDIM FLORESTA;-
SÃO PAULO;MOGI DAS CRUZES;847,409;908,057;Coletivo Jovem;COLETIVO JUNDIAPEBA;-
SÃO PAULO;PRAIA GRANDE;828,964;929,03;Coletivo Jovem;COLETIVO BOQUEIRÃO;-
SÃO PAULO;RIBEIRÃO PRETO;789,627;830,586;Coletivo Jovem;COLETIVO D. HÉLDER;-
SÃO PAULO;SÃO JOSÉ DOS CAMPOS;853,421;903,473;Coletivo Jovem;COLETIVO IMPERIAL;-
SÃO PAULO;SÃO PAULO;821,776;902,049;Coletivo Jovem;COLETIVO BRASILÂNDIA;-
SÃO PAULO;SÃO PAULO;840,462;902,049;Coletivo Jovem;COLETIVO ERMELINO MATARAZZO;-
SÃO PAULO;SÃO PAULO;823,723;917,341;Coletivo Jovem;COLETIVO HELIÓPOLIS;-
SÃO PAULO;SÃO PAULO;811,486;908,813;Coletivo Jovem;COLETIVO JAGUARÉ;-
SÃO PAULO;SÃO PAULO;812,352;924,211;Coletivo Jovem;COLETIVO JARDIM COPACABANA;-
SÃO PAULO;SÃO PAULO;835,354;907,673;Coletivo Jovem;COLETIVO JOSÉ BONIFÁCIO;-
SÃO PAULO;SÃO PAULO;827,469;898,113;Coletivo Jovem;COLETIVO PARADA DE TAIPAS;-
SÃO PAULO;SÃO PAULO;822,178;908,52;Coletivo Jovem;COLETIVO PARAISÓPOLIS II;-
SÃO PAULO;SÃO PAULO;833,98;913,338;Coletivo Jovem;COLETIVO SAPOPEMBA;-
SÃO PAULO;SÃO PAULO;815,536;915,955;Coletivo Jovem;COLETIVO VILA ANDRADE;-
SÃO PAULO;SOROCABA;801,574;908,52;Coletivo Jovem;COLETIVO JARDIM SANTA LÚCIA;-
SÃO PAULO;TAUBATÉ;863,859;896,759;Coletivo Jovem;COLETIVO PQ. 3 MARIAS;-
PARANÁ;CURITIBA;757,133;961,587;Coletivo Jovem;COLETIVO TATUQUARA;-
RIO GRANDE DO SUL;SANTA MARIA;610,786;1100,034;Coletivo Jovem;COLETIVO VENTO NORTE;-
AMAZONAS;Manaus;454,806;275,894;Cooperativa;ACR - ASSOCIAÇÃO DE CATADORES DE RECICLÁVEIS;-
AMAZONAS;Manaus;424,503;275,531;Cooperativa;ARPA - ASSOCIAÇÃO DE RECICLAGEM E PRESERVAÇÃO AMBIENTAL;-
AMAZONAS;Manaus;439,659;231,657;Cooperativa;ASCAFIGUAMA - ASSOCIAÇÃO DE CATADORES FILHOS(AS) DE GUADALUPE DO MUNICÍPIO DE MANAUS;-
AMAZONAS;Manaus;452,877;247,183;Cooperativa;ASCARMAN - ASSOCIAÇÃO DE CATADORES RECICLÁVEIS DO AMAZONAS;-
AMAZONAS;Manacapuru;392,464;274,676;Cooperativa;MPU RECICLE - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS SOLIDARIA DO MUNICÍPIO DE MANACAPURU;-
PARÁ;Ananindeua;784,979;195,421;Cooperativa;ACPT - ASSOCIACAO '' CIDADANIA PARA TODOS '';-
PARÁ;Belém;770,099;203,865;Cooperativa;CCMRFS - COOPERATIVA DE CATADORES DE MATERIAIS RECICLAVEIS FILHOS DO SOL;-
PARÁ;São João de Pirabas;807,736;191,386;Cooperativa;COOPECAPI - COOPERATIVA DE CATADORES DE SAO JOAO DE PIRABAS;-
PARÁ;Santarém;597,324;231,657;Cooperativa;COOPRESAN - COOPERATIVA DE RECICLAGEM DE SANTAREM;-
PARÁ;Benevides;784,979;215,991;Cooperativa;RECICLABEN - COOPERATIVA DE TRABALHO DE CATADORES DE MATERIAIS RECICLÁVEIS DE BENEVIDES;-
PARÁ;São Miguel do Guamá;802,104;218,03;Cooperativa;RECICLAR GUAMA - ASSOCIACAO DOS CATADORES DE RECICLAVEIS DE SAO MIGUEL DO GUAMA;-
RONDONIA;Porto Velho;371,701;466,211;Cooperativa;CATA NORTE - COOPERATIVA RONDONIENSE DE CATADORES E CATADORAS DE MATERIAIS RECICLAVEIS;-
TOCANTINS;Palmas;829,92;530,463;Cooperativa;ASCAMPA - ASSOCIAÇÃO DOS CATADORES CATADORAS DE MATERIAIS RECICLÁVEIS DA REGIÃO CENTRO NORTE DE PALMAS;-
PARAIBA;JOÃO PESSOA;1175,407;373,512;Cooperativa;ASSOCIAÇÃO DE CATADORES E CATADORAS DE MATERIAIS RECICLÁVEIS DE JOÃO PESSOA;-
PARAIBA;JOÃO PESSOA;1187,529;394,69;Cooperativa;ASSOCIAÇÃO ACORDO VERDE JARDIM CIDADE UNIVERSITÁRIA;-
PARAIBA;Campina Grande;1146,376;400,069;Cooperativa;ARENSA - ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS DA COMUNIDADE NOSSA SENHORA APARECIDA;-
PARAIBA;João Pessoa;1160,784;383,075;Cooperativa;CATAJAMPA - ASSOCIAÇÃO DOS CATADORES E CATADORAS DE MATERIAIS REUTILIZÁVEIS E RECICLÁVEIS DE JOÃO PESSOA;-
PARAIBA;Campina Grande;1136,31;405,611;Cooperativa;CATAMAIS - CATAMAIS COOPERATIVA DE CATADORES E CATADORAS DE MATERIAIS RECICLAVEIS DE CAMPINA GRANDE LTDA;-
PERNAMBUCO;Itapissuma;1186,985;412,664;Cooperativa;ACMRPJS - ASSOCIAÇÃO DOS CATADORES E CATADORAS DE MATERIAIS RECICLÁVEIS PADRE JOSÉ SEVAT;-
PERNAMBUCO;Petrolina;1020,926;444,385;Cooperativa;COOMARCA - COOPERATIVA DE CATADORES DE MATERIAIS RECICLAVEIS DE PETROLINA;-
PERNAMBUCO;Cabo de Santo Agostinho;1153,303;416,813;Cooperativa;COOMSERC - COOPERATIVA MISTA DE SERVIÇO DO CABO DE SANTO AGOSTINHO;-
PERNAMBUCO;Abreu e Lima;1171,112;440,618;Cooperativa;COOREPLAST - COOPERATIVA DE TRABALHO DE CATADORES DE MAT REC;-
PERNAMBUCO;Recife;1144,259;436,74;Cooperativa;PALHA DE ARROZ - Cooperativa Ecovida Palha de Arroz;-
PERNAMBUCO;Recife;1158,13;440,318;Cooperativa;PRO RECIFE - COOPERATIVA DE TRABALHO DE CATADORES PROFISSIONAIS DO RECIFE;-
PERNAMBUCO;Petrolina;1037,24;442,713;Cooperativa;RENASCER - COOPERATIVA DOS CATADORES DE PETROLINA;-
ALAGOAS;Coruripe;1130,995;473,48;Cooperativa;ASCAMARE AL - ASSOCIAÇÃO DOS CATADORES E CATADORAS DE MATERIAIS RECICLÁVEIS SÃO JOSÉ;-
ALAGOAS;Arapiraca;1139,243;467,217;Cooperativa;ASCARA - ASSOCIAÇÃO DE CATADORES DE RESIDUOS SÓLIDOS DE ARAPIRACA;-
ALAGOAS;Campo Alegre;1145,078;483,768;Cooperativa;COOPECMARCA - COOPERATIVA DOS CATADORES DE MATERIAIS RECICLÁVEIS DE CAMPO ALEGRE;-
ALAGOAS;Marechal Deodoro;1157,914;483,768;Cooperativa;COOPMAR AL - COOPERATIVA DE TRABALHO DOS CATADORES DE MARECHAL DEODORO LTDA;-
ALAGOAS;Maceió;1172,03;470,382;Cooperativa;COOPREL AL MATRIZ - COOPERATIVA DE RECICLADORES DE ALAGOAS;-
SERGIPE;Boquim;1113,84;511,886;Cooperativa;COOCMAR - COOPERATIVA DE CATADORES DE MATERIAL RECICLÁVEL DO MUNICÍPIO DE BOQUIM;-
SERGIPE;Nossa senhora do Socorro;1137,535;502,229;Cooperativa;COOPERATIVA REVIRAVOLTA - COOPERATIVA DE RECICLAGEM REVIRAVOLTA DE NOSSA SENHORA DO SOCORRO;-
SERGIPE;Itabaiana;1114,052;490,955;Cooperativa;COORECI_SE - COOPERATIVA DE RECICLAGEM DA CIDADE DE ITABAIANA-SE;-
SERGIPE;Aracaju;1127,997;513,843;Cooperativa;COORES - COOPERATIVA DE RECICLAGEM DO BAIRRO SANTA MARIA;-
SERGIPE;Itabaianinha;1102,806;515,675;Cooperativa;COORSITA - COOPERATIVA DE CATADORES DE MATERIAIS RECICLÁVEIS DO MUNICÍPIO DE ITABAIANINHA;-
CEARÁ;Crato;1054,259;391,633;Cooperativa;AARC - ASSOCIAÇÃO DOS AGENTES RECICLADORES DE CRATO;-
CEARÁ;Fortaleza;1054,047;309,598;Cooperativa;ASCAJAN - ASSOCIAÇÃO DOS CATADORES DE JANGURUSSU;-
CEARÁ;Fortaleza;1039,181;291,766;Cooperativa;ASSOCIAÇÃO VIVA A VIDA;-
CEARÁ;Fortaleza;1082,696;314,317;Cooperativa;RAIO DE SOL - ASSOCIAÇÃO DE CATADORES (AS) DE MATERIAIS RECICLÁVEIS RAIO DE SOL;-
MARANHÃO;São Luís;886,484;242,029;Cooperativa;ASCAMARCO - ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS DA REGIÃO DA CIDADE OPERARIA E CIDADE OLÍMPICA;-
